Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
Gaunt[{1, -1}, {6, 6}, {5, -5}] == 0.33194
Gaunt[{1, -1}, {6, 6}, {7, -5}] == -0.0349896
Gaunt[{1, -1}, {7, -7}, {8, 8}] == 0.335179
Gaunt[{1, -1}, {7, -6}, {8, 7}] == -0.313531
Gaunt[{1, -1}, {7, -5}, {6, 6}] == -0.0349896
Gaunt[{1, -1}, {7, -5}, {8, 6}] == 0.291881
Gaunt[{1, -1}, {7, -4}, {6, 5}] == 0.0606037
Gaunt[{1, -1}, {7, -4}, {8, 5}] == -0.27023
Gaunt[{1, -1}, {7, -3}, {6, 4}] == -0.0857066
Gaunt[{1, -1}, {7, -3}, {8, 4}] == 0.248575
Gaunt[{1, -1}, {7, -2}, {6, 3}] == 0.110647
Gaunt[{1, -1}, {7, -2}, {8, 3}] == -0.226917
Gaunt[{1, -1}, {7, -1}, {6, 2}] == -0.135514
Gaunt[{1, -1}, {7, -1}, {8, 2}] == 0.205254
Gaunt[{1, -1}, {7, 0}, {6, 1}] == 0.160342
Gaunt[{1, -1}, {7, 0}, {8, 1}] == -0.183585
Gaunt[{1, -1}, {7, 1}, {6, 0}] == -0.185147
Gaunt[{1, -1}, {7, 1}, {8, 0}] == 0.161907
Gaunt[{1, -1}, {7, 2}, {6, -1}] == 0.209937
Gaunt[{1, -1}, {7, 2}, {8, -1}] == -0.140215
Gaunt[{1, -1}, {7, 3}, {6, -2}] == -0.234717
Gaunt[{1, -1}, {7, 3}, {8, -2}] == 0.118504
Gaunt[{1, -1}, {7, 4}, {6, -3}] == 0.259489
Gaunt[{1, -1}, {7, 4}, {8, -3}] == -0.0967577
Gaunt[{1, -1}, {7, 5}, {6, -4}] == -0.284256
Gaunt[{1, -1}, {7, 5}, {8, -4}] == 0.0749482
Gaunt[{1, -1}, {7, 6}, {6, -5}] == 0.309019
Gaunt[{1, -1}, {7, 6}, {8, -5}] == -0.0529964
Gaunt[{1, -1}, {7, 7}, {6, -6}] == -0.333779
Gaunt[{1, -1}, {7, 7}, {8, -6}] == 0.0305975
Gaunt[{1, -1}, {8, -6}, {7, 7}] == 0.0305975
Gaunt[{1, -1}, {8, -5}, {7, 6}] == -0.0529964
Gaunt[{1, -1}, {8, -4}, {7, 5}] == 0.0749482
Gaunt[{1, -1}, {8, -3}, {7, 4}] == -0.0967577
Gaunt[{1, -1}, {8, -2}, {7, 3}] == 0.118504
Gaunt[{1, -1}, {8, -1}, {7, 2}] == -0.140215
Gaunt[{1, -1}, {8, 0}, {7, 1}] == 0.161907
Gaunt[{1, -1}, {8, 1}, {7, 0}] == -0.183585
Gaunt[{1, -1}, {8, 2}, {7, -1}] == 0.205254
Gaunt[{1, -1}, {8, 3}, {7, -2}] == -0.226917
Gaunt[{1, -1}, {8, 4}, {7, -3}] == 0.248575
Gaunt[{1, -1}, {8, 5}, {7, -4}] == -0.27023
Gaunt[{1, -1}, {8, 6}, {7, -5}] == 0.291881
Gaunt[{1, -1}, {8, 7}, {7, -6}] == -0.313531
G
aunt[{1, -1}, {8, 8}, {7, -7}] == 0.335179
Gaunt[{1, 0}, {0, 0}, {1, 0}] == 0.282095
Gaunt[{1, 0}, {1, -1}, {2, 1}] == -0.21851
Gaunt[{1, 0}, {1, 0}, {0, 0}] == 0.282095
Gaunt[{1, 0}, {1, 0}, {2, 0}] == 0.252313
Gaunt[{1, 0}, {1, 1}, {2, -1}] == -0.21851
Gaunt[{1, 0}, {2, -2}, {3, 2}] == 0.184674
Gaunt[{1, 0}, {2, -1}, {1, 1}] == -0.21851
Gaunt[{1, 0}, {2, -1}, {3, 1}] == -0.233597
Gaunt[{1, 0}, {2, 0}, {1, 0}] == 0.252313
Gaunt[{1, 0}, {2, 0}, {3, 0}] == 0.247767
